Dist_Name,Corrected_Percent_Flooded_Area,Population,Normalized_Flooded_Area,Fatalities_Per_100k,Injuries_Per_100k,Normalized_Flood_Duration,DFSI
Cachar,9.233600225,2105643,0.092336002,9.213337683548446,1.5672172348304056,0.22857142857142856,2.7753655873000698
Karimganj,22.52672148,1393118,0.225267215,8.32664569691871,1.0049399979039824,0.3142857142857143,2.467784655977102
Hailakandi,17.33980856,765445,0.17339808560000003,9.536936030674967,0.7838577559458877,0.2571428571428571,2.687833682340928
Charaideo,16.04309188,496227,0.160430919,10.076033750682651,0.201520675013653,0.5142857142857142,2.7380677646955043
Majuli,8.241462489,147155,0.082414625,36.69600081546668,0.6795555706567905,0.3142857142857143,9.443064181324797
Biswanath,3.155673349,666698,0.031556733,8.399605218554727,0.14999295033133442,0.2857142857142857,2.216717297022587
Hojai,5.154656156,1112181,0.051546561559999995,5.125065074839437,0.08991342236560415,0.2857142857142857,1.3880598361198317
South Salmara Mancachar,17.21104287,533060,0.172110429,7.316249577908678,0.18759614302329944,0.45714285714285713,2.0332747516937086
Karbi Anglong,1.843256596,693265,0.018432566,9.52016905512322,0.7212249284184258,0.5714285714285714,2.7078137802325544
West Karbi Anglong,3.129321309,363939,0.031293213,10.441310219569763,0.27477132156762535,0.7428571428571429,2.8725579742711327
Pashchim Champaran,6.360902258,4925046,0.06360902258000001,3.939049503293979,0.2233481677125452,0.5714285714285714,1.1993588162537738
Purba Champaran,9.387440533,6322257,0.093874405,2.910353059042048,0.31634272380891826,0.5428571428571428,0.9658568327595272
Sitamarhi,4.619683648,4182895,0.046196836479999996,4.6857499411292896,0.023906887454741274,0.5714285714285714,1.3318205591231504
Sheohar,9.002316572,851775,0.09002316571999999,15.966657861524462,0.11740189604062105,0.6571428571428571,4.207806445106986
Gopalganj,5.467595215,2913408,0.054675952150000005,4.427804138658231,0.34324063090373885,0.6857142857142857,1.377858751856564
Samastipur,14.37494456,5463227,0.143749446,2.7822384096432384,0.18304200063442358,0.6,0.9272574639694156
Katihar,11.4120932,3735857,0.114120932,5.915643987443845,0.05353523970537416,0.5714285714285714,1.6636821826444474
Khagaria,11.60726948,2060105,0.11607269479999999,8.057841711951575,0.4854121513223841,0.6571428571428571,2.329117353804204
Bhojpur,5.386832738,3338604,0.053868327,3.56436402759956,0,0.6,1.05455808874489
Buxar,5.289701443,2014287,0.052897014,4.418436896033187,0,0.7142857142857143,1.2964049061872254
Darbhanga,10.05644787,4562640,0.100564479,4.536847088527694,0.19725422124033457,0.5142857142857142,1.3372378756884358
Saharsa,8.19729709,2422652,0.081972971,6.893272331312957,0.37149371845399176,0.6571428571428571,2.0009704694524513
Kaimur (bhabua),2.607282647,1966164,0.026072826469999998,4.475720234934625,0,0.7714285714285715,1.318305408208299
Rohtas,3.872831529,3605080,0.038728315,2.27456810944556,0,0.8285714285714286,0.7854669633267473
Jamui,0.413248775,2203798,0.004132488,3.6300967693046275,0,0.8285714285714286,1.115700171406514
Banka,1.685961495,2787874,0.016859615,4.30435521834918,0,0.7428571428571429,1.2660179940390808
Nawada,1.761243108,2765346,0.017612431,3.543860334294515,0.8317223233548351,0.7142857142857143,1.2768702007537662
Gaya,3.470539782,5429170,0.034705398,2.2471206464339852,0,0.6571428571428571,0.7347422253492105
Munger,13.73832054,1690301,0.137383205,7.927582128863439,0.23664424265264,0.6285714285714286,2.2325452513718766
Vaishali,16.86821474,4598311,0.16868214739999998,2.4139298103151354,0.04349423081648892,0.6571428571428571,0.8208122614186204
Begusarai,20.79971936,3830215,0.20799719360000002,3.2896325663180788,0.26108194970778403,0.6285714285714286,1.0968207845493227
Bhagalpur,13.72985928,3509828,0.137298593,4.587119368812375,0.3418970958121025,0.5714285714285714,1.409435907213262
Lakhisarai,12.08953008,1174729,0.120895301,7.57621545054221,0,0.7142857142857143,2.102849116406981
Sheikhpura,3.505578685,820089,0.035055787,9.99891475193546,0,0.8,2.7084926346963654
Arwal,21.67630991,591972,0.216763099,14.358787239937024,0,0.7714285714285715,3.836744727616399
Jehanabad,10.27922577,1409612,0.102792258,6.171911135830285,0,0.7714285714285715,1.7615329912397142
Nalanda,17.24872994,3649192,0.17248729940000002,2.9595592668185176,0,0.6571428571428571,0.9472973558403437
Patna,18.8206194,6868950,0.18820619400000002,5.546699277182102,0.4367479745812679,0.45714285714285713,1.657199075726557
Saran,12.38481824,4674827,0.12384818239999999,3.7862363676773496,0.04278233183816214,0.6285714285714286,1.1453595776217351
Siwan,6.60775735,3880318,0.066077574,3.4275541334498874,0,0.6571428571428571,1.037693641023186
Muzaffarpur,11.7588689,6144680,0.117588689,3.2711223367205453,0.2929363286615414,0.5428571428571428,1.0561261243098075
Madhepura,3.907767989,2498415,0.03907768,6.243958669796651,0,0.6857142857142857,1.7421876588502343
Araria,6.399493143,3634320,0.063994931,4.457505117876247,0,0.6571428571428571,1.294660726612276
Supaul,7.348234606,2904278,0.073482346,5.577978416666724,0.3443196553497978,0.6285714285714286,1.6560879616619877
Madhubani,3.746869093,5126077,0.037468691,4.2137486424804,0.19508095567038886,0.5428571428571428,1.247288857984483
Purnia,6.320814211,4127576,0.063208142,4.021730914221809,0,0.6,1.1712347640829521
Kishanganj,9.14902795,2214692,0.09149027950000001,6.456879782832105,0,0.6285714285714286,1.7942353727258835
Aurangabad,2.54951557,3160597,0.025495156,9.523517234244038,1.4554212384558993,0.37142857142857144,2.8439655499571272
Aurangabad,2.54951557,4525057,0.025495156,6.651849910398919,1.016561780326745,0.37142857142857144,2.016333854463559
Chandigarh,0.000993771,897511,9.93771e-06,1.8941272028977916,1.4484502139806643,0.05714285714285714,0.8499325529328282
Mahasamund,0.627540566,1179980,0.0062754056599999995,0.4237359955253479,4.745843149883896,0.11428571428571428,1.3225350663387394
Uttar Bastar Kanker,0.730199538,868469,0.007301995380000001,0.806016104201762,0.23029031548621767,0.02857142857142857,0.268044960909852
Narayanpur,0.572471381,120311,0.0057247138099999996,4.987075163534507,1.6623583878448354,0.05714285714285714,1.6780752805830499
Dakshin Bastar Dantewada,1.67319932,332104,0.016731993,0,0,0,0.004182998
Bastar,1.632703879,948753,0.016327038789999998,0.9486136012218143,4.005257427380994,0.11428571428571428,1.2711209454196306
Kondagaon,1.078482579,656011,0.010784826,0,0,0,0.0026962064475
Gariaband,0.505735659,777859,0.005057356589999999,0,0,0,0.0012643391474999998
Raipur,0.592452074,2814996,0.005924521,1.3854371373884724,2.344585924811261,0.08571428571428572,0.9554154671635048
Durg,0.43075371,2010685,0.004307537,0.7957487125034504,0,0.05714285714285714,0.21429977668657688
Dhamtari,0.04693727,897907,0.00046937270000000004,1.4478114103130948,0.11137010848562268,0.02857142857142857,0.3970555800175365
Balod,0.024923064,961306,0.000249231,0,0,0.08571428571428572,0.02149087908857143
